,wshedid,Qtot,area,latidx,lonidx,fcode,flatidx,flonidx,fq,flc,fws
0,870.0,22486810.0,8000000,177,84,128.0,178,84,-50477576000000.0,24.0,870.0
1,871.0,28525992.0,11000000,177,86,64.0,178,85,-50477564000000.0,24.0,871.0
2,872.0,53916524.0,17000000,177,87,128.0,178,87,-50477543000000.0,24.0,872.0
3,873.0,5761306.0,3000000,177,88,128.0,178,88,-50477593000000.0,24.0,873.0
4,875.0,66105356.0,24000000,177,91,128.0,178,91,-50477526000000.0,24.0,875.0
5,876.0,11316993.0,7000000,177,95,64.0,178,94,-50477580000000.0,24.0,876.0
6,877.0,8379349.0,6000000,177,96,1.0,178,97,-50477585000000.0,24.0,877.0
7,883.0,9324035.0,3000000,178,78,128.0,179,78,-50477593000000.0,24.0,883.0
8,884.0,6474596.0,3000000,177,79,128.0,178,79,3238595.5,12.0,884.0
9,885.0,9310428.0,3000000,178,80,128.0,179,80,-50477593000000.0,24.0,885.0
10,886.0,9380660.0,3000000,178,81,128.0,179,81,-50477593000000.0,24.0,886.0
11,887.0,9355296.0,3000000,178,82,128.0,179,82,-50477593000000.0,24.0,887.0
12,894.0,16151862.0,6000000,178,100,128.0,179,100,-50477585000000.0,24.0,894.0
13,895.0,7641725.0,3000000,178,101,128.0,179,101,-50477593000000.0,24.0,895.0
14,896.0,1159750400.0,360000000,178,102,128.0,179,102,-50476444000000.0,24.0,896.0
15,897.0,21027346.0,8000000,178,103,128.0,179,103,-50477580000000.0,24.0,897.0
16,898.0,7571715.0,3000000,178,104,128.0,179,104,-50477593000000.0,24.0,898.0
17,899.0,15483570.0,6000000,178,105,128.0,179,105,-50477585000000.0,24.0,899.0
18,901.0,15240412.0,6000000,178,107,128.0,179,107,-50477585000000.0,24.0,901.0
19,903.0,9981828.0,4000000,178,109,128.0,179,109,-50477590000000.0,24.0,903.0
20,904.0,4860506.0,3000000,178,110,128.0,179,110,-50477593000000.0,24.0,904.0
21,905.0,11625800000.0,3158000000,178,113,64.0,179,112,-50465966000000.0,24.0,905.0
22,906.0,4707745.0,3000000,178,115,1.0,179,116,-50477593000000.0,24.0,906.0
23,908.0,16850372.0,7000000,178,118,128.0,179,118,-50477585000000.0,24.0,908.0
24,913.0,66783584.0,27000000,178,123,128.0,179,123,-50477534000000.0,24.0,913.0
25,914.0,6857022.5,3000000,178,124,128.0,179,124,-50477593000000.0,24.0,914.0
26,915.0,6939869.5,3000000,178,125,128.0,179,125,-50477593000000.0,24.0,915.0
27,916.0,6920706.5,3000000,178,126,128.0,179,126,-50477593000000.0,24.0,916.0
28,917.0,9391048.0,4000000,178,127,128.0,179,127,-50477593000000.0,24.0,917.0
29,919.0,43284852.0,20000000,178,130,64.0,179,129,-50477550000000.0,24.0,919.0
30,922.0,6967514.0,3000000,179,69,128.0,180,69,-50477590000000.0,24.0,922.0
31,926.0,30808460.0,9000000,179,73,128.0,180,73,-50477568000000.0,24.0,926.0
32,931.0,6473568.0,3000000,179,131,128.0,180,131,-50477593000000.0,24.0,931.0
33,932.0,8743488.0,6000000,179,132,128.0,180,132,-50477590000000.0,24.0,932.0
34,934.0,451804930.0,122000000,180,67,128.0,181,67,-50477144000000.0,24.0,934.0
35,936.0,305042240.0,180000000,181,135,32.0,180,135,4233222.5,12.0,936.0
36,938.0,150617840.0,49000000,181,64,128.0,182,64,-50477425000000.0,24.0,938.0
37,939.0,9934262.0,3000000,181,65,128.0,182,65,-50477593000000.0,24.0,939.0
38,942.0,6387488.5,5000000,182,138,32.0,181,138,4328453.0,12.0,942.0
39,944.0,10506458.0,4000000,182,59,128.0,183,59,-50477585000000.0,24.0,944.0
40,949.0,6612134.0,6000000,182,140,64.0,183,139,-50477590000000.0,24.0,949.0
41,952.0,39551056.0,11000000,183,57,128.0,184,57,-50477560000000.0,24.0,952.0
42,954.0,25031292.0,14000000,183,142,64.0,184,141,-50477568000000.0,24.0,954.0
43,956.0,6945921.5,3000000,184,53,1.0,185,54,-50477593000000.0,24.0,956.0
44,958.0,4450296.0,4000000,184,144,64.0,185,143,-50477593000000.0,24.0,958.0
45,966.0,221720480.0,94000000,186,146,64.0,187,145,-50477370000000.0,24.0,966.0
46,967.0,4259700.5,4000000,187,148,64.0,188,147,-50477593000000.0,24.0,967.0
47,968.0,13373847.0,9000000,188,149,128.0,189,149,-50477580000000.0,24.0,968.0
48,969.0,9062925.0,5000000,189,151,64.0,190,150,-50477585000000.0,24.0,969.0
49,970.0,11054848.0,7000000,191,153,32.0,190,153,4610458.0,12.0,970.0
50,971.0,4361337.0,3000000,191,154,64.0,192,153,-50477593000000.0,24.0,971.0
51,972.0,249133280.0,104000000,192,155,64.0,193,154,-50477350000000.0,24.0,972.0
52,973.0,4407292.0,4000000,193,157,64.0,194,156,2204429.2,19.0,973.0
53,974.0,4391300.0,3000000,194,157,64.0,195,156,-50477593000000.0,24.0,974.0
54,975.0,140807400.0,68000000,195,158,128.0,196,158,-50477438000000.0,24.0,975.0
55,977.0,8953458.0,8000000,197,161,64.0,198,160,-50477580000000.0,24.0,977.0
56,978.0,158505330.0,68000000,199,162,32.0,198,162,4487614.0,12.0,978.0
57,982.0,55361452.0,25000000,200,163,64.0,201,162,-50477543000000.0,24.0,982.0
58,983.0,22781486.0,11000000,202,164,32.0,201,164,4536867.0,9.0,983.0
59,985.0,4573447.0,4000000,203,166,64.0,204,165,2287343.0,12.0,985.0
60,986.0,32514338.0,17000000,204,167,64.0,205,166,-50477568000000.0,12.0,986.0
61,987.0,6888944.0,5000000,205,167,128.0,206,167,-50477585000000.0,24.0,987.0
62,988.0,16137039.0,8000000,206,169,64.0,207,168,-50477585000000.0,19.0,988.0
63,989.0,41860340.0,23000000,207,169,128.0,208,169,-50477543000000.0,24.0,989.0
64,990.0,374381200.0,156000000,209,171,32.0,208,171,4606948.5,12.0,990.0
65,991.0,4600000.5,3000000,209,172,64.0,210,171,2300602.2,9.0,991.0
66,992.0,6874875.5,4000000,210,172,64.0,211,171,-50477593000000.0,24.0,992.0
67,993.0,9226837.0,9000000,210,175,64.0,211,174,-50477576000000.0,24.0,993.0
68,994.0,129778240.0,57000000,211,176,64.0,212,175,-50477467000000.0,24.0,994.0
69,995.0,6849742.0,3000000,213,174,32.0,212,174,0.0,24.0,0.0
70,997.0,16077735.0,8000000,213,177,64.0,214,176,-50477580000000.0,24.0,997.0
71,999.0,6903787000.0,2535000000,215,178,32.0,214,178,4569947.0,12.0,999.0
72,1001.0,9105985.0,5000000,217,179,32.0,216,179,4553130.5,12.0,1001.0
73,1003.0,11403469.0,6000000,218,180,32.0,217,180,4557844.5,12.0,1003.0
74,1005.0,4564081.0,3000000,219,181,64.0,220,180,-50477593000000.0,9.0,1005.0
75,1006.0,16073228.0,11000000,220,182,64.0,221,181,-50477570000000.0,24.0,1006.0
76,1007.0,6865212.0,3000000,222,182,32.0,221,182,6875500.5,12.0,1006.0
77,1010.0,6836224.5,3000000,224,182,32.0,223,182,4569285.5,12.0,1008.0
78,1011.0,6797867.5,3000000,225,182,32.0,224,182,6836224.5,12.0,1010.0
79,1014.0,59705556.0,27000000,225,183,64.0,226,182,-50477540000000.0,24.0,1014.0
80,1017.0,15974520.0,8000000,227,183,32.0,226,183,4569894.5,12.0,1014.0
81,1022.0,29715228.0,15000000,228,184,64.0,229,183,-50477564000000.0,24.0,1022.0
82,1024.0,9140187.0,4000000,230,184,32.0,229,184,6873293.0,12.0,1022.0
83,1026.0,3452483300.0,949000000,228,1235,1.0,229,1236,-50474145000000.0,12.0,1026.0
84,1044.0,38838188.0,29000000,232,185,32.0,231,185,27424010.0,12.0,1044.0
85,1054.0,4530493.0,3000000,232,1215,1.0,233,1216,-50477593000000.0,24.0,1054.0
86,1055.0,13604138.0,6000000,232,1217,128.0,233,1217,-50477585000000.0,24.0,1055.0
87,1056.0,22889892.0,13000000,232,1218,128.0,233,1218,-50477568000000.0,24.0,1056.0
88,1063.0,13725756.0,7000000,234,186,32.0,233,186,4580559.0,12.0,1063.0
89,1064.0,540440770.0,231000000,233,1213,1.0,234,1214,-50477056000000.0,24.0,1064.0
90,1066.0,46251556.0,23000000,233,1221,64.0,234,1220,-75675460000000.0,24.0,1066.0
91,1067.0,7807557600.0,2821000000,233,1225,1.0,234,1226,-50469790000000.0,24.0,1067.0
92,1078.0,6861091.5,3000000,235,186,32.0,234,186,13725756.0,12.0,1063.0
93,1079.0,13572750.0,7000000,234,1210,128.0,235,1210,-50477585000000.0,24.0,1079.0
94,1080.0,13532942.0,6000000,234,1211,128.0,235,1211,-50477585000000.0,24.0,1080.0
95,1081.0,11228179.0,5000000,234,1212,128.0,235,1212,-50477585000000.0,24.0,1081.0
96,1083.0,4581277.0,3000000,234,1223,64.0,235,1222,-50477593000000.0,24.0,1083.0
97,1096.0,6882952.0,3000000,236,186,32.0,235,186,6861091.5,12.0,1078.0
98,1097.0,20297008.0,10000000,235,1208,128.0,236,1208,-50477576000000.0,24.0,1097.0
99,1112.0,4534917.0,5000000,236,1202,128.0,237,1202,-75675495000000.0,24.0,1112.0
100,1113.0,20323598.0,14000000,236,1205,128.0,237,1205,-50477568000000.0,24.0,1113.0
101,1114.0,6687356.0,3000000,236,1206,128.0,237,1206,-50477593000000.0,24.0,1114.0
102,1134.0,13849530.0,9000000,237,187,64.0,238,186,-50477576000000.0,24.0,1134.0
103,1135.0,1579005300.0,635000000,237,1199,128.0,238,1199,-50476020000000.0,24.0,1135.0
104,1136.0,13479717.0,7000000,236,1200,128.0,237,1200,11284533.0,12.0,1136.0
105,1145.0,9266968.0,6000000,239,187,32.0,238,187,9243723.0,12.0,1134.0
106,1146.0,22313588.0,11000000,238,1196,128.0,239,1196,-50477570000000.0,24.0,1146.0
107,1147.0,8815793.0,4000000,238,1197,128.0,239,1197,-50477590000000.0,24.0,1147.0
108,1148.0,4408064.0,3000000,237,1197,1.0,238,1198,-50477593000000.0,12.0,1148.0
109,1153.0,17769384.0,9000000,239,1193,128.0,240,1193,-50477576000000.0,24.0,1153.0
110,1154.0,26818070.0,12000000,239,1194,128.0,240,1194,-50477570000000.0,24.0,1154.0
111,1157.0,4676281.0,4000000,242,187,16.0,241,186,-50477590000000.0,24.0,1157.0
112,1158.0,31436972.0,16000000,240,1189,64.0,241,1188,-50477564000000.0,24.0,1158.0
113,1159.0,11069062.0,5000000,240,1190,128.0,241,1190,-50477590000000.0,24.0,1159.0
114,1160.0,6608262.0,3000000,240,1191,128.0,241,1191,-50477593000000.0,24.0,1160.0
115,1171.0,17910596.0,11000000,241,1182,1.0,242,1183,-50477570000000.0,24.0,1171.0
116,1173.0,67640376.0,30000000,241,1186,128.0,242,1186,-50477530000000.0,24.0,1173.0
117,1179.0,6996685.0,4000000,243,185,32.0,242,185,4645889.0,9.0,1170.0
118,1186.0,6670232.5,4000000,243,1180,128.0,244,1180,-50477590000000.0,24.0,1186.0
119,1187.0,6653579.0,3000000,243,1181,128.0,244,1181,-50477593000000.0,24.0,1187.0
