,wshedid,Qtot,area,latidx,lonidx,fcode,flatidx,flonidx,fq,flc,fws
0,2838.0,2987592400.0,581250000,107,68,8.0,107,67,0.0,12.0,2837.0
1,2899.0,1449648400.0,268750000,111,59,8.0,111,58,205627800.0,9.0,2915.0
2,2915.0,372279500.0,106250000,112,57,8.0,112,56,0.0,9.0,2914.0
3,2920.0,134333760.0,25000000,112,51,32.0,111,51,-315484940000000.0,24.0,2911.0
4,2925.0,100293970.0,25000000,114,51,16.0,113,50,-315484900000000.0,24.0,2925.0
5,2932.0,66716520.0,12500000,115,51,32.0,114,51,100293970.0,9.0,2925.0
6,2935.0,235974460.0,43750000,115,52,128.0,116,52,-315484800000000.0,24.0,2935.0
7,2936.0,134288510.0,25000000,115,53,128.0,116,53,-315484900000000.0,24.0,2936.0
8,2937.0,66935200.0,12500000,115,54,128.0,116,54,-315484980000000.0,24.0,2937.0
9,2938.0,67340720.0,25000000,115,56,64.0,116,55,-315484900000000.0,24.0,2938.0
10,2941.0,66168464.0,12500000,118,55,8.0,118,54,66457976.0,9.0,2945.0
11,2942.0,100292720.0,25000000,116,57,64.0,117,56,-315484900000000.0,24.0,2942.0
12,2944.0,64262668.0,12500000,119,47,8.0,119,46,0.0,19.0,2950.0
13,2945.0,66457976.0,18750000,118,54,32.0,117,54,0.0,24.0,0.0
14,2946.0,66313456.0,12500000,117,58,128.0,118,58,-315484980000000.0,24.0,2946.0
15,2947.0,1457024000.0,312500000,119,60,16.0,118,59,-315483470000000.0,24.0,2947.0
16,2950.0,63311184.0,25000000,120,46,16.0,119,45,-315484940000000.0,24.0,2950.0
17,2951.0,131825560.0,31250000,120,53,16.0,119,52,-315484880000000.0,24.0,2951.0
18,2952.0,130820610.0,37500000,120,55,4.0,119,56,-315484840000000.0,24.0,2952.0
19,2953.0,97227040.0,31250000,120,58,16.0,119,57,-315484880000000.0,24.0,2953.0
20,2956.0,0.0,12500000,120,44,32.0,119,44,0.0,24.0,0.0
21,2957.0,63827856.0,12500000,120,47,2.0,120,48,-315485000000000.0,24.0,2957.0
22,2958.0,66331750.0,12500000,120,52,32.0,119,52,-315484880000000.0,24.0,2951.0
23,2967.0,124139880.0,31250000,121,44,32.0,120,44,0.0,19.0,2956.0
24,2968.0,63344040.0,25000000,121,47,2.0,121,48,-315484940000000.0,24.0,2968.0
25,2969.0,65939572.0,12500000,121,52,32.0,120,52,66331750.0,9.0,2958.0
26,2971.0,122936504.0,25000000,122,43,32.0,121,43,-315484900000000.0,24.0,2967.0
27,2972.0,63568172.0,12500000,122,51,32.0,121,51,-315484980000000.0,24.0,2969.0
28,2973.0,65714172.0,31250000,121,53,128.0,122,53,-315484880000000.0,24.0,2973.0
29,2974.0,61182824.0,12500000,123,43,32.0,122,43,122936504.0,9.0,2971.0
30,2975.0,63018932.0,18750000,123,51,32.0,122,51,63568172.0,12.0,2972.0
31,2976.0,96238250.0,25000000,123,54,32.0,122,54,64579250.0,9.0,2973.0
32,2977.0,61044940.0,12500000,124,43,32.0,123,43,61182824.0,9.0,2974.0
33,2978.0,62002280.0,37500000,123,48,128.0,124,48,-315484880000000.0,24.0,2978.0
34,2979.0,61793892.0,18750000,124,50,32.0,123,50,-315484940000000.0,24.0,2975.0
35,2980.0,5591082000.0,1212500000,125,54,16.0,124,53,-315479170000000.0,24.0,2980.0
36,2981.0,212972030.0,43750000,125,43,32.0,124,43,61044940.0,9.0,2977.0
37,2982.0,60362932.0,12500000,126,43,32.0,125,43,212972030.0,9.0,2981.0
38,2983.0,210315420.0,81250000,127,50,16.0,126,49,-315484680000000.0,24.0,2983.0
39,2984.0,0.0,12500000,127,43,32.0,126,43,60362932.0,12.0,2982.0
40,2985.0,90180130.0,31250000,127,44,64.0,128,43,-315484900000000.0,24.0,2985.0
41,2986.0,148462190.0,56250000,130,43,8.0,130,42,0.0,19.0,2987.0
42,2987.0,59849050.0,18750000,131,42,16.0,130,41,-315484980000000.0,24.0,2987.0
43,2988.0,178381090.0,50000000,132,41,16.0,131,40,-315484800000000.0,24.0,2988.0
44,2989.0,60500220.0,12500000,132,39,32.0,131,39,0.0,24.0,0.0
45,2990.0,120453896.0,25000000,133,39,32.0,132,39,60500220.0,9.0,2989.0
46,2991.0,60504692.0,12500000,134,39,32.0,133,39,120453896.0,9.0,2990.0
47,2992.0,90701500.0,18750000,135,39,32.0,134,39,60504692.0,9.0,2991.0
48,2993.0,90746780.0,18750000,136,39,32.0,135,39,90701500.0,9.0,2992.0
49,2994.0,149953940.0,62500000,136,41,64.0,137,40,-315484740000000.0,24.0,2994.0
50,2995.0,178156880.0,50000000,137,43,64.0,138,42,-315484800000000.0,24.0,2995.0
51,2996.0,19317770000.0,4212500000,139,43,32.0,138,43,60100820.0,9.0,2995.0
52,2997.0,62280376.0,12500000,141,35,8.0,141,34,0.0,24.0,0.0
53,2998.0,0.0,12500000,140,42,32.0,139,42,-315465750000000.0,24.0,2996.0
54,2999.0,61699830.0,12500000,142,37,8.0,142,36,-315484840000000.0,24.0,3001.0
55,3000.0,122276450.0,37500000,141,42,32.0,140,42,0.0,9.0,2998.0
56,3001.0,155129280.0,43750000,143,36,8.0,143,35,61988028.0,9.0,3004.0
57,3002.0,124096270.0,25000000,143,38,8.0,143,37,62055480.0,12.0,3001.0
58,3003.0,123737630.0,50000000,143,39,8.0,143,38,124096270.0,12.0,3002.0
59,3004.0,61988028.0,12500000,143,35,32.0,142,35,62062956.0,12.0,3001.0
60,3005.0,61977880.0,12500000,144,35,32.0,143,35,61988028.0,9.0,3004.0
61,3006.0,61860480.0,12500000,145,35,32.0,144,35,61977880.0,12.0,3005.0
62,3007.0,61720880.0,12500000,146,35,32.0,145,35,61860480.0,12.0,3006.0
63,3008.0,61964100.0,12500000,146,36,128.0,147,36,-315485000000000.0,24.0,3008.0
64,3009.0,123933310.0,25000000,146,37,128.0,147,37,-315484940000000.0,24.0,3009.0
65,3010.0,62044600.0,18750000,146,39,64.0,147,38,-315484940000000.0,24.0,3010.0
66,3011.0,123790680.0,37500000,146,41,64.0,147,40,-315484880000000.0,24.0,3011.0
